Player,Tm,season,Ave +/-
Lance Thomas,NYK,2016,0.2608695652173913
Hollis Thompson,PHI,2016,-6.305084745762712
Jason Thompson,TOT,2016,-0.30303030303030304
Jason Thompson,GSW,2016,-0.30303030303030304
Jason Thompson,TOR,2016,-0.30303030303030304
Klay Thompson,GSW,2016,10.7
Tristan Thompson,CLE,2016,4.790322580645161
Marcus Thornton,TOT,2016,1.0408163265306123
Marcus Thornton,HOU,2016,1.0408163265306123
Marcus Thornton,WAS,2016,1.0408163265306123
Anthony Tolliver,DET,2016,0.7857142857142857
Axel Toupane,DEN,2016,0.35714285714285715
Karl-Anthony Towns,MIN,2016,-1.1451612903225807
P.J. Tucker,PHO,2016,-4.516129032258065
Evan Turner,BOS,2016,2.0163934426229506
Myles Turner,IND,2016,-1.4565217391304348
Beno Udrih,TOT,2016,-0.8333333333333334
Beno Udrih,MEM,2016,-0.8333333333333334
Beno Udrih,MIA,2016,-0.8333333333333334
Jonas Valančiūnas,TOR,2016,1.9333333333333333
Anderson Varejão,TOT,2016,0.16279069767441862
Anderson Varejão,CLE,2016,0.16279069767441862
Anderson Varejão,GSW,2016,0.16279069767441862
Greivis Vásquez,MIL,2016,-1.1666666666666667
Rashad Vaughn,MIL,2016,-2.0576923076923075
Charlie Villanueva,DAL,2016,-2.25
Noah Vonleh,POR,2016,0.25862068965517243
Nikola Vučević,ORL,2016,-1.4081632653061225
Sasha Vujačić,NYK,2016,-1.5434782608695652
Dwyane Wade,MIA,2016,-0.4909090909090909
Dion Waiters,OKC,2016,2.0847457627118646
Kemba Walker,CHO,2016,2.9836065573770494
John Wall,WAS,2016,2.0517241379310347
T.J. Warren,PHO,2016,-1.8888888888888888
C.J. Watson,ORL,2016,-2.590909090909091
Briante Weber,TOT,2016,-12.0
Briante Weber,MEM,2016,-12.0
Briante Weber,MIA,2016,-12.0
Sonny Weems,TOT,2016,-1.2727272727272727
Sonny Weems,PHO,2016,-1.2727272727272727
Sonny Weems,PHI,2016,-1.2727272727272727
David West,SAS,2016,3.5254237288135593
Russell Westbrook,OKC,2016,8.25
Hassan Whiteside,MIA,2016,0.16666666666666666
Shayne Whittington,IND,2016,-1.1666666666666667
Andrew Wiggins,MIN,2016,-0.47540983606557374
C.J. Wilcox,LAC,2016,1.3529411764705883
Alan Williams,PHO,2016,-0.375
Deron Williams,DAL,2016,-1.0434782608695652
Derrick Williams,NYK,2016,-2.5166666666666666
Elliot Williams,MEM,2016,0.0
Lou Williams,LAL,2016,-5.962264150943396
Marvin Williams,CHO,2016,2.5245901639344264
Mo Williams,CLE,2016,-1.1764705882352942
Justise Winslow,MIA,2016,1.3166666666666667
Jeff Withey,UTA,2016,1.2820512820512822
Christian Wood,PHI,2016,-2.8333333333333335
Metta World Peace,LAL,2016,-0.39285714285714285
Brandan Wright,MEM,2016,-8.125
Delon Wright,TOR,2016,-0.047619047619047616
Tony Wroten,PHI,2016,-10.0
James Young,BOS,2016,-0.4
Joe Young,IND,2016,-0.65625
Nick Young,LAL,2016,-3.375
Thaddeus Young,BRK,2016,-1.7818181818181817
Cody Zeller,CHO,2016,1.8679245283018868
Tyler Zeller,BOS,2016,-0.6458333333333334
