Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Ousmane Dieng,PF,20,OKC,11,0,11.0,1.2,3.3,.361,0.6,2.4,.269,0.5,0.9,.600,.458,0.3,0.4,.750,0.5,1.4,1.9,1.0,0.1,0.0,0.4,0.6,3.3,2024
Spencer Dinwiddie,PG,30,BRK,14,14,29.9,4.3,10.4,.414,2.3,6.1,.372,2.0,4.2,.475,.524,2.5,3.4,.745,0.4,3.1,3.6,6.2,0.4,0.1,1.7,1.6,13.4,2024
Donte DiVincenzo,SG,27,NYK,15,2,20.7,3.0,7.3,.413,1.9,4.9,.384,1.1,2.4,.472,.541,0.7,1.1,.647,1.0,2.1,3.1,1.9,1.0,0.3,1.3,1.6,8.6,2024
Luka Dončić,PG,24,DAL,16,16,35.1,10.5,21.6,.487,3.8,9.7,.394,6.7,11.9,.563,.575,5.7,7.4,.765,0.6,7.3,7.9,7.8,1.3,0.4,3.9,1.8,30.5,2024
Luguentz Dort,SF,24,OKC,16,16,28.3,3.5,7.6,.459,1.8,4.3,.426,1.7,3.4,.500,.578,1.9,2.4,.789,1.1,2.9,3.9,1.1,1.0,0.9,1.0,2.9,10.7,2024
Ayo Dosunmu,SG,24,CHI,15,0,15.0,1.9,4.1,.468,0.8,2.1,.387,1.1,2.1,.548,.565,0.6,0.7,.900,0.5,1.1,1.5,1.3,0.5,0.1,0.5,1.4,5.3,2024
Andre Drummond,C,30,CHI,17,0,13.2,2.4,4.4,.533,0.0,0.1,.000,2.4,4.4,.541,.533,0.9,1.5,.640,2.5,3.6,6.1,0.6,1.1,0.3,1.0,1.6,5.6,2024
Chris Duarte,SF,26,SAC,15,3,15.3,1.5,4.1,.377,0.9,2.6,.359,0.6,1.5,.409,.492,0.5,0.7,.727,0.2,1.9,2.1,1.1,0.7,0.1,0.7,2.9,4.5,2024
Kris Dunn,PG,29,UTA,13,1,10.3,1.5,3.4,.432,0.3,0.7,.444,1.2,2.7,.429,.477,0.4,0.6,.625,0.3,1.5,1.8,1.9,0.5,0.1,1.2,1.3,3.6,2024
Kevin Durant,PF,35,PHO,15,15,36.9,10.7,20.1,.533,2.3,4.5,.522,8.4,15.7,.536,.591,7.6,8.5,.891,0.3,6.7,7.1,5.5,0.7,1.2,4.0,1.9,31.4,2024
Jalen Duren,C,20,DET,9,8,28.8,5.7,9.3,.607,0.0,0.2,.000,5.7,9.1,.622,.607,1.3,1.8,.750,3.6,7.3,10.9,3.2,0.7,1.1,2.7,3.7,12.7,2024
Tari Eason,PF,22,HOU,7,0,17.3,2.9,6.1,.465,0.9,2.0,.429,2.0,4.1,.483,.535,0.0,0.3,.000,1.4,4.3,5.7,1.0,0.6,1.0,0.6,2.0,6.6,2024
Anthony Edwards,SG,22,MIN,15,15,35.7,9.5,20.5,.461,2.6,6.9,.375,6.9,13.6,.505,.524,5.2,6.0,.867,0.9,5.1,6.0,5.1,1.5,0.4,3.4,1.9,26.7,2024
Kessler Edwards,SF,23,SAC,12,0,6.6,0.5,1.6,.316,0.3,1.0,.333,0.2,0.6,.286,.421,0.1,0.2,.500,0.2,0.8,1.0,0.4,0.2,0.2,0.1,0.7,1.4,2024
Keon Ellis,SG,24,SAC,9,2,12.1,1.1,2.9,.385,0.6,2.2,.250,0.6,0.7,.833,.481,0.7,1.2,.545,0.4,1.3,1.8,0.9,0.7,0.4,0.7,1.1,3.4,2024
Joel Embiid,C,29,PHI,15,15,34.7,10.4,21.1,.494,1.0,3.4,.294,9.4,17.7,.532,.517,10.3,11.7,.881,3.2,8.1,11.3,6.3,1.0,1.9,3.7,3.1,32.1,2024
Drew Eubanks,C,26,PHO,15,0,18.3,3.0,4.8,.625,0.1,0.1,1.000,2.9,4.7,.614,.639,1.5,1.7,.846,1.4,3.1,4.5,1.6,0.2,1.2,1.1,2.1,7.6,2024
