Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%, ,OWS,DWS,WS,WS/48, ,OBPM,DBPM,BPM,VORP,season
Tyler Herro,SG,23,MIA,1,19,20.4,.667,.444,.000,0.0,12.2,6.0,18.8,0.0,5.3,10.0,23.7,,0.0,0.0,0.1,.136,,3.4,-0.6,2.8,0.0,2023
Haywood Highsmith,PF,26,MIA,18,161,17.0,.728,.410,.128,7.0,10.1,8.5,4.6,3.2,1.2,4.6,12.1,,0.4,0.2,0.7,.198,,1.2,3.5,4.7,0.3,2023
Aaron Holiday,PG,26,ATL,1,4,-4.9,,,,0.0,0.0,0.0,27.3,0.0,0.0,100.0,10.3,,0.0,0.0,0.0,-0.273,,-8.4,-3.3,-11.6,0.0,2023
Jrue Holiday,PG,32,MIL,5,191,13.7,.491,.494,.153,2.3,17.9,9.7,29.1,1.2,0.9,11.7,22.6,,0.1,0.1,0.2,.040,,-0.2,-1.2,-1.4,0.0,2023
Al Horford,C,36,BOS,20,617,12.8,.497,.712,.030,5.7,20.4,13.3,12.5,1.8,4.9,7.6,10.6,,0.6,0.9,1.5,.118,,-0.4,3.2,2.8,0.7,2023
Danuel House Jr.,SF,29,PHI,7,42,9.9,.466,.476,.048,0.0,34.1,16.6,4.4,0.0,0.0,4.5,24.7,,-0.1,0.0,0.0,-0.025,,-4.2,-1.1,-5.3,0.0,2023
Kevin Huerter,SG,24,SAC,7,183,6.6,.424,.542,.111,0.5,17.2,8.6,6.1,0.8,4.7,5.0,17.2,,-0.2,0.2,0.0,.008,,-4.6,0.5,-4.1,-0.1,2023
De'Andre Hunter,SF,25,ATL,6,224,10.8,.559,.447,.118,3.1,14.3,8.2,4.2,0.9,0.8,9.1,18.1,,0.1,0.0,0.1,.016,,-1.9,-1.2,-3.1,-0.1,2023
Bones Hyland,PG,22,LAC,5,82,8.0,.444,.455,.227,1.3,4.5,2.8,7.3,2.4,0.9,7.6,26.9,,-0.1,0.0,-0.1,-0.086,,-4.7,-2.2,-6.8,-0.1,2023
Joe Ingles,SF,35,MIL,5,89,12.2,.739,.870,.000,1.2,6.6,3.8,14.7,1.6,1.0,20.7,13.7,,0.1,0.0,0.1,.078,,0.2,0.0,0.2,0.1,2023
Jaren Jackson Jr.,C,23,MEM,6,220,14.1,.546,.301,.434,8.6,13.4,10.8,6.5,1.3,4.8,15.4,22.2,,0.0,0.3,0.3,.072,,-1.5,1.4,-0.1,0.1,2023
Reggie Jackson,PG,32,DEN,6,18,9.7,.750,1.000,.000,0.0,12.5,6.5,13.5,2.8,0.0,33.3,7.5,,0.0,0.0,0.0,.091,,-1.8,3.6,1.7,0.0,2023
LeBron James,PF,38,LAL,16,619,22.6,.584,.359,.312,4.6,21.6,13.6,27.4,1.3,2.6,10.7,26.6,,1.3,0.9,2.2,.171,,5.5,2.0,7.6,1.5,2023
DaQuan Jeffries,SG,25,NYK,2,5,-6.7,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.030,,-19.0,-1.0,-20.1,0.0,2023
Cameron Johnson,PF,26,BRK,4,152,16.4,.637,.509,.127,2.3,14.9,8.7,13.8,1.1,0.6,7.9,20.4,,0.2,0.1,0.3,.105,,2.2,1.0,3.2,0.2,2023
Jalen Johnson,SF,21,ATL,6,56,13.9,.523,.458,.083,3.5,27.6,14.5,19.4,2.6,0.0,16.7,22.0,,0.0,0.0,0.0,.013,,-0.4,2.2,1.8,0.1,2023
Nikola Jokić,C,27,DEN,20,789,31.2,.631,.184,.336,10.6,28.4,19.8,41.0,1.4,2.2,12.8,31.1,,3.7,1.3,5.0,.305,,9.1,3.7,12.8,3.0,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Tyus Jones,PG,26,MEM,6,120,7.9,.362,.528,.083,2.4,13.7,7.6,26.4,3.2,0.0,17.7,15.8,,-0.2,0.2,0.0,-0.013,,-4.5,2.2,-2.3,0.0,2023
DeAndre Jordan,C,34,DEN,4,14,8.8,.644,.000,.667,0.0,32.1,16.6,9.7,0.0,6.2,34.0,18.9,,0.0,0.0,0.0,-0.011,,-7.2,4.6,-2.6,0.0,2023
Nikola Jović,PF,19,MIA,7,13,3.8,.250,.500,.000,8.6,35.8,22.0,0.0,0.0,0.0,0.0,13.8,,0.0,0.0,0.0,-0.067,,-6.4,-3.2,-9.6,0.0,2023
Luke Kennard,SG,26,MEM,5,107,15.1,.727,.696,.174,4.4,15.3,9.5,9.7,1.8,0.0,3.9,10.1,,0.3,0.1,0.4,.190,,1.8,3.1,4.8,0.2,2023
Nathan Knight,C,25,MIN,2,5,-11.0,.250,.500,.000,22.8,0.0,11.7,0.0,0.0,0.0,20.0,46.2,,-0.1,0.0,-0.1,-0.670,,-13.9,-12.1,-25.9,0.0,2023
John Konchar,SF,26,MEM,5,49,5.3,.222,.444,.000,7.7,13.4,10.4,11.0,2.0,3.6,10.0,8.5,,-0.1,0.1,0.0,.012,,-5.4,3.4,-2.0,0.0,2023
Furkan Korkmaz,SG,25,PHI,3,11,-0.1,.347,.500,1.000,0.0,10.9,5.3,12.0,0.0,0.0,25.8,16.3,,0.0,0.0,0.0,-0.145,,-6.7,-3.1,-9.8,0.0,2023
Luke Kornet,C,27,BOS,8,32,28.5,.957,.125,.250,18.4,17.4,17.9,0.0,0.0,2.8,0.0,12.5,,0.2,0.0,0.2,.337,,7.6,0.6,8.2,0.1,2023
Jonathan Kuminga,PF,20,GSW,10,61,15.6,.608,.292,.375,6.7,8.6,7.6,12.4,1.6,0.0,12.5,21.6,,0.1,0.1,0.1,.099,,0.5,0.2,0.7,0.0,2023
Anthony Lamb,SF,25,GSW,6,31,3.7,.500,.800,.000,3.3,16.9,10.0,0.0,1.5,2.7,28.6,9.3,,0.0,0.0,0.0,-0.010,,-6.7,0.7,-6.0,0.0,2023
Jock Landale,C,27,PHO,7,113,16.2,.648,.037,.519,10.6,18.2,14.5,3.6,1.3,2.2,5.7,13.7,,0.3,0.1,0.3,.144,,-0.1,0.1,0.1,0.1,2023
Damion Lee,SG,30,PHO,8,89,5.2,.407,.750,.100,5.4,9.0,7.2,6.8,1.1,0.0,4.6,10.8,,0.0,0.0,0.0,-0.009,,-3.6,-0.8,-4.5,-0.1,2023
Alex Len,C,29,SAC,7,54,11.2,.816,.000,.667,12.8,25.3,18.9,2.6,0.0,5.3,37.6,13.7,,0.0,0.1,0.1,.084,,-6.3,1.3,-5.0,0.0,2023
Kawhi Leonard,SF,31,LAC,2,80,29.9,.670,.227,.386,4.1,15.5,9.4,27.3,2.4,1.0,10.4,30.2,,0.4,0.0,0.4,.227,,10.1,3.7,13.8,0.3,2023
Meyers Leonard,C,30,MIL,2,5,-5.1,.000,.000,.000,0.0,23.6,11.3,0.0,0.0,0.0,0.0,8.4,,0.0,0.0,0.0,-0.201,,-10.4,-5.3,-15.7,0.0,2023
Caris LeVert,SG,28,CLE,5,170,12.4,.546,.571,.206,2.9,12.5,7.9,13.3,0.6,0.5,6.8,20.3,,0.1,0.2,0.3,.092,,1.2,0.8,2.1,0.2,2023
Kenneth Lofton Jr.,PF,20,MEM,4,12,12.2,.394,.250,.250,7.9,18.2,12.7,15.6,0.0,0.0,0.0,30.9,,0.0,0.0,0.0,-0.042,,2.4,-2.6,-0.2,0.0,2023
Kevon Looney,C,26,GSW,13,325,18.8,.584,.000,.281,19.1,35.1,27.0,17.4,1.2,1.3,15.3,10.8,,0.8,0.6,1.4,.206,,1.4,1.8,3.1,0.4,2023
Brook Lopez,C,34,MIL,5,182,18.4,.653,.254,.194,8.3,11.6,9.9,4.8,1.8,4.4,13.1,19.4,,0.3,0.1,0.4,.113,,1.0,0.4,1.4,0.2,2023
Robin Lopez,C,34,CLE,2,6,46.9,1.031,.000,.667,20.2,0.0,9.7,0.0,0.0,0.0,20.5,38.1,,0.1,0.0,0.1,.443,,10.8,5.6,16.4,0.0,2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023
Kevin Love,PF,34,MIA,20,359,13.7,.543,.739,.134,4.4,31.4,17.7,9.6,1.3,2.0,7.4,17.0,,0.3,0.6,0.9,.115,,0.1,1.1,1.3,0.3,2023
Kyle Lowry,PG,36,MIA,23,599,13.4,.562,.506,.190,2.2,13.4,7.7,24.1,2.0,2.3,17.5,17.2,,0.4,0.8,1.2,.095,,-0.6,2.4,1.8,0.6,2023
Trey Lyles,PF,27,SAC,7,118,12.6,.545,.675,.125,7.6,27.6,17.3,6.0,0.8,0.0,6.6,15.2,,0.1,0.1,0.3,.114,,0.4,-0.1,0.3,0.1,2023
Terance Mann,SG,26,LAC,5,133,13.2,.717,.576,.273,5.7,8.4,7.0,11.7,1.5,0.6,19.6,14.5,,0.2,0.0,0.2,.070,,0.8,0.7,1.5,0.1,2023
Caleb Martin,SF,27,MIA,23,694,15.3,.657,.505,.170,4.4,16.4,10.3,7.8,1.5,1.3,9.8,15.9,,1.2,0.8,2.0,.140,,0.6,1.7,2.3,0.8,2023
Wesley Matthews,SF,36,MIL,2,41,11.3,.667,.778,.000,2.6,5.7,4.1,3.0,2.3,2.1,0.0,9.2,,0.1,0.0,0.1,.106,,1.6,3.2,4.8,0.1,2023
