Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season
Ian Clark,SG,26,NOP,9,0,21.1,3.1,7.3,.424,1.1,3.1,.357,2.0,4.2,.474,.500,0.4,0.4,1.000,0.2,0.9,1.1,1.2,0.9,0.2,1.0,2.2,7.8,2018
Jordan Clarkson,SG,25,CLE,19,0,15.1,1.9,6.5,.301,0.6,2.4,.239,1.4,4.1,.338,.346,0.3,0.3,.833,0.5,1.2,1.7,0.7,0.4,0.2,0.7,1.1,4.7,2018
Zach Collins,C,20,POR,4,0,17.5,2.8,7.5,.367,0.8,3.5,.214,2.0,4.0,.500,.417,0.8,1.0,.750,0.8,2.3,3.0,1.5,0.8,0.5,0.5,2.5,7.0,2018
Darren Collison,PG,30,IND,7,7,30.6,4.4,9.7,.456,1.1,3.3,.348,3.3,6.4,.511,.515,1.3,1.7,.750,0.1,2.9,3.0,4.7,1.0,0.0,1.3,1.0,11.3,2018
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2018
Pat Connaughton,SG,25,POR,4,0,14.8,1.5,3.8,.400,0.5,2.5,.200,1.0,1.3,.800,.467,0.5,0.5,1.000,0.5,0.5,1.0,1.5,0.3,0.3,0.3,2.3,4.0,2018
Quinn Cook,PG,24,GSW,17,0,10.3,1.8,3.9,.448,0.4,1.8,.226,1.4,2.1,.639,.500,0.8,1.0,.824,0.1,1.2,1.4,0.6,0.2,0.1,0.3,0.8,4.8,2018
Robert Covington,SF,27,PHI,10,8,28.1,2.7,8.3,.325,1.5,4.8,.313,1.2,3.5,.343,.416,1.2,1.6,.750,1.2,4.1,5.3,2.5,1.1,0.9,1.1,3.0,8.1,2018
Jamal Crawford,SG,37,MIN,5,0,24.6,4.2,9.4,.447,1.4,3.4,.412,2.8,6.0,.467,.521,2.0,2.6,.769,0.2,2.4,2.6,2.4,1.0,0.0,1.0,1.2,11.8,2018
Jordan Crawford,SG,29,NOP,2,0,7.5,4.0,6.5,.615,1.5,4.0,.375,2.5,2.5,1.000,.731,0.0,0.0,,0.0,2.0,2.0,0.5,0.5,0.0,1.5,0.5,9.5,2018
Jae Crowder,SF,27,UTA,11,2,29.4,3.2,9.8,.324,2.0,6.0,.333,1.2,3.8,.310,.426,1.6,2.5,.643,0.4,4.7,5.1,1.7,1.4,0.2,1.3,2.3,10.0,2018
Stephen Curry,PG,29,GSW,15,14,37.0,9.1,20.3,.451,4.3,10.8,.395,4.9,9.5,.514,.556,3.0,3.1,.957,0.6,5.5,6.1,5.4,1.7,0.7,2.9,2.5,25.5,2018
Anthony Davis,PF,24,NOP,9,9,39.8,11.8,22.7,.520,0.7,2.4,.273,11.1,20.2,.549,.534,5.9,7.1,.828,2.7,10.8,13.4,1.7,2.0,2.3,2.6,3.3,30.1,2018
Ed Davis,C,28,POR,4,0,17.8,1.3,2.5,.500,0.0,0.0,,1.3,2.5,.500,.500,0.3,1.0,.250,1.3,6.8,8.0,0.0,0.0,0.3,1.0,1.8,2.8,2018
